Tag,Class,Description,Category,Keywords
.NET Framework,Skill,Create Windows-based applications using the .NET framework.,.NET Framework,".NET Framework, Windows Presentation Foundation (WPF) or Windows Forms"
3D Modeling,Skill,Identify the layered components of a physical object that make up the complete digital three-dimensional (3D) rendering.,3D Modeling,"3D Modeling, DesignCAD, Autodesk 3D Studio Design, 3ds MAX, Blender, LightWave, Models"
AWS Certified Security Specialty,Skill,Assess the fidelity and utility of implemented Amazon Web Services (AWS) features.,AWS Certified Security Specialty,"AWS Cloud Security, AWS Certified Security Specialty"
Academic Accommodation Plans,Skill,Incorporate visual and graphic design principles based on Section 508.,Academic Accommodation Plans,"Academic Accommodation Plans, Accommodations"
Academic Advising,Skill,Advise on timelines and plans for academic work and study.,Academic Advising,"Academic Advising, Academic Counseling"
Academic Affairs,Skill,Develop a faculty training strategy for academic programs.,Academic Affairs,"Academic Affairs, CAS standards, faculty training, program strategy, program vision"
Academic Tenacity,Skill,Advise students to remain committed to academic and professional goals.,Academic Tenacity,"Persistence, Academic Tenacity, Academic Achievement, Academic Standards, Academic Integrity"
Academic Writing,Skill,Instruct students on how to identify appropriate and valid data sources.,Academic Writing,"Academic Writing, APA/MLA Style Guides"
Acceptance,Skill,Actively look for ways to reduce or eliminate prejudice and discrimination.,Acceptance,"Diversity, Equity, and Inclusion (DEI): General, DEI Collection, 21st Century Skills, Diversity, Social Justice, Acceptance, Inclusion, Equity"
Acceptance Testing,Skill,Design alterations to user experience components to meet acceptance testing criteria.,Acceptance Testing,"Acceptance Testing, User Experience"
Access Controls,Skill,Select computing programs and online resources.,Access Controls,"Access Controls, NetSupport School, LockDown Browser"
Access Network,Skill,Configure network routers for traffic between a core network and an internet service provider.,Access Network,Access Network
Account Analysis,Skill,Analyze current processes and systems for efficiency and process improvements.,Account Analysis,"Account Analysis, Account Reconciliation, Process Improvement"
Account Management,Skill,"Act as a user within many domains, networks, and cloud subscriptions.",Account Management,"Account Management, Business Account Management"
Account Reconciliation,Skill,"Ensure two sets of records (e.g., the balances of two accounts) are in agreement.",Account Reconciliation,Account Reconciliation
Accountability,Skill,Take ownership of one's own success.,Accountability,"Accountability, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Entrepreneur, Professional Development and Career Management, Change Manager"
Accounting,Skill,Explain the financial impact of unbilled medical procedures on a facility.,Accounting,"Accounting, Pareto analysis"
Accounting Ethics,Skill,"Uphold the standards of Competence, Confidentiality, Integrity, and Credibility.",Accounting Ethics,Accounting Ethics
Accounting Management,Skill,Enforce proper accounting methods and policies to ensure positive overall company financial health.,Accounting Management,"Management, Accounting, Finance, Accounting Management"
Accounting Software,Skill,Monitor accounting systems to ensure compliance with organizational and federal guidelines.,Accounting Software,"Accounting software, QuickBooks, Accounting Softwares"
Accounting Standards Codification (ASC),Skill,Apply generally accepted accounting principles (GAAP) to nongovernmental entities using the Financial Accounting Standards Board (FASB) Accounting Standards Codification (ASC).,Accounting Standards Codification (ASC),"Accounting, Accounting Standards Codification (ASC), Financial Accounting Standards Board (FASB)"
Accounting Systems,Skill,Assign unique general ledger codes to each account within an accounting system.,Accounting Systems,"Accounting software, QuickBooks, Sage, Oracle, Accounting Systems, ERP, ADP, Workday"
Accounts Payable,Skill,Process client and vendor invoices.,Accounts Payable,"SAP, Accounts Receivable, Accounts Payable, QuickBooks, Sage, Balance Sheets"
Accounts Receivable,Skill,Post receipts to accounts and ledgers.,Accounts Receivable,"SAP, Accounts Receivable, Accounts Payable, QuickBooks, Sage, Balance Sheets"
Accruals,Skill,Record revenue accruals over the lifetime of a product.,Accruals,"Sage 50 Accounting, Tax Software, Accruals, Fund Accounting Software, Intuit QuickBooks Hot Technology"
Active Directory,Skill,Troubleshoot Active Directory replication issues.,Active Directory,"Active Directory, Systems Engineer"
Active Learning,Skill,"Discover new ideas, both within and beyond the library field.",Active Learning,Active Learning
Active Listening,Skill,"Demonstrate the use of eye contact, voice patterns, body language, and visual cues to enhance relationships.",Active Listening,"Active Listening, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Interpersonal Communication"
Acute Care,Skill,Document accurate physical assessments.,Acute Care,Acute Care
Adaptability,Skill,"Introduce new strategies, processes, and programs for improvements in value-based care to improve patient outcomes.",Adaptability,Adaptability
Adult Education,Skill,Integrate and model social emotional learning skills in instructional practice.,Adult Education,adult education
Advanced Cardiovascular Life Support (ACLS),Skill,Identify each team member's role during a resuscitation situation.,Advanced Cardiovascular Life Support (ACLS),"Advanced Cardiovascular Life Support (ACLS), resuscitation"
Advertisement,Skill,Create a well-defined persona with the demand characteristics of the behaviors a product or service is designed to satisfy.,Advertisement,"Advertisement, Advertising"
Advertising Campaigns,Skill,Plan a product launch to create product awareness and generate demand for a new product.,Advertising Campaigns,"Microsoft PowerPoint, Microsoft Excel, Marketing, Microsoft Word, Advertising Campaigns"
Advertising Sales,Skill,Select an appropriate software application to manage a specific type of digital campaign.,Advertising Sales,"Advertising Sales, Advertising Operations"
Advising,Skill,Mentor managers on how to support organizational objectives.,Advising,Advising
Advocacy,Skill,Respond constructively to racial injustice in the workplace.,Advocacy,"Diversity, Equity, and Inclusion (DEI): General, DEI Collection, Character, 21st Century Skills, Leadership, Advocacy, Diversity, Social Justice, Justice, Determination"
Aerosol Therapy,Skill,Select the appropriate room humidifier for patient use.,Aerosol Therapy,"Aerosol Therapy, aerosols, Pass-Over, Humidifier, Room, Air, Filter"
Agency,Skill,Complete tasks that lead to desired outcomes beyond stated requirements.,Agency,"Positive Mental Attitude, Social Emotional Learning (SEL): General, Social Emotional Learning (SEL): Self Management, Self-Sufficiency, Agency, Self Starter"
Agency Law,Skill,"Develop strategies and policies for a business organization to avoid and mitigate liability risks arising from the use of agents, contractors, and employees.",Agency Law,Agency Law
Agile Methodology,Skill,Troubleshoot system issues for agile resolution.,Agile Methodology,"Agile Methodology, Systems Engineer"
Agile Project Management,Skill,Measure the impact of the prototype learning experience using the agile project management strategies model.,Agile Project Management,"Agile Project Management, Project Management"
Agile Software Development,Skill,Develop the first iteration of the software or product feature based on a segment of the user story.,Agile Software Development,"Agile Software Development, Agile Development"
Air Quality,Skill,Estimate pollutant concentrations at receptor locations downwind of the source.,Air Quality,Air Quality
Alarm Devices,Skill,Teach subordinates alarm device response tactics.,Alarm Devices,Alarm Devices
Algorithm Analysis,Skill,Use O notation to represent the complexity of algorithms.,Algorithm Analysis,Algorithm Analysis
Algorithms,Skill,Analyze the logic and structure of complex algorithms.,Algorithms,"GeneralEducation2019, Algorithms, Analysis of Algorithms"
Allyship,Skill,"Write about microaggressions toward the lesbian, gay, bisexual, transgender, queer, and other (LGBTQ+) community.",Allyship,"Diversity, Equity, and Inclusion (DEI): General, DEI Collection, 21st Century Skills, Allyship"
Altruism,Skill,Be charitable and generous to others in words and actions.,Altruism,"Character, 21st Century Skills, Compassion, Kindness, Care, Altruism, Love"
Amazon Web Services,Skill,Implement updates for Amazon Web Services systems and applications as needed.,Amazon Web Services,"Amazon Web Services, Systems Engineer"
Analytical Skills,Skill,Use different methods of data analysis.,Analytical Skills,"Analytical Skills, Influencer, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Change Manager"
Analytical Techniques,Skill,Identify patterns and trends in data.,Analytical Techniques,"Analytical Techniques, Analytical Skills, Transferrable Skills Across Occupations, Transferrable Skills for Leaders, Data-Driven Decision-Making"
Analytical Thinking,Skill,Use logic and reasoning to solve problems.,Analytical Thinking,"Analytical Thinking, Transferrable Skills Across Occupations, Transferrable Skills for Leaders"
Analytics,Skill,Visualize data to communicate key information.,Analytics,"Analytics, Influencer"
Anatomy,Skill,Identify the anatomical structures of the upper airway for disease process management.,Anatomy,"Anatomy, Nose, Nares, Airway, Nasopharynx"
Android (Operating System),Skill,Troubleshoot Android operating system on mobile devices.,Android (Operating System),Android (Operating System)
Anomaly Detection,Skill,"Identify rare items, events, or observations in a set of data that differs significantly from the majority.",Anomaly Detection,"Anomaly Detection, Mining Data from Text"
Anti Money Laundering,Skill,Verify validity of know-your-customer (KYC) documentation.,Anti Money Laundering,"Microsoft Office Suite, Oracle, SAS, Anti Money Laundering, Actimize"
Antivirus Softwares,Skill,Install antivirus software on relevant infrastructures and endpoint computing devices.,Antivirus Softwares,"Technologies and Tools for CompTIA Security+, Sophos, Symantec, ESET, Antivirus Softwares, Antivirus"
Apache Hadoop,Skill,Write MapReduce jobs in Hadoop to process data.,Apache Hadoop,"Cloudera, Apache Hadoop, Azure HDInsight, Hortonworks"
Appeals,Skill,Collect the information needed to appeal a medical claim denial.,Appeals,"Medical Assistant, Appeals"
Apple IOS,Skill,Troubleshoot Apple IOS operating systems on mobile devices.,Apple IOS,Apple IOS
Applicant Tracking Systems,Skill,Search for keywords related to an open position in an applicant tracking system (ATS).,Applicant Tracking Systems,"Applicant Tracking Systems, Applicant Tracking Systems (ATS)"
Application Development,Skill,Write secure applications based on industry standards.,Application Development,"Encryption, Secure passwords, hashing, two-factor authentication"
Application Programming Interface (API),Skill,Test application programming interface (API) interoperability and compatibility.,Application Programming Interface (API),"Visual Studio, Eclipse, Visual Studio Code, Application Programming Interface (API)"
Application Security,Skill,Maintain static application security testing (SAST) tools relevant to an organization's deployed applications and infrastructure.,Application Security,"Application Security, Static Application Security Testing (SAST)"
Applied Ethics,Skill,Assess the strengths and weaknesses of different ethical positions.,Applied Ethics,"Applied Ethics, Transferrable Skills Across Occupations, Transferrable Skills for Leaders"
Applied Mathematics,Skill,Interpolate values within the range of a given set of data.,Applied Mathematics,"GeneralEducation2019, Applied Mathematics, Python(NumPy & SciPy), MATLAB, Mathematica, Basic Math"
Appreciation,Skill,Be inspired by the goodness of others.,Appreciation,"Character, 21st Century Skills, Awareness, Respect, Mindfulness, Appreciation, Inspired, Inspired by Goodness, Reflection, Gratitude"
ArcGIS (GIS Software),Skill,Identify an offender's journey to crime using Geographic Information System (ArcGIS).,ArcGIS (GIS Software),ArcGIS (GIS Software)
Architectural Drawing,Skill,Design dimensional layouts for commercial buildings.,Architectural Drawing,"Sage 50 Accounting, Intuit QuickBooks Hot Technology, Architectural Drawing, Choice Job Cost, ConEst T&M Billing Manager"
Architecture Design And Assessment Systems,Skill,Build software application solutions.,Architecture Design And Assessment Systems,Architecture Design And Assessment Systems
Arithmetic,Skill,Explain pricing and discount calculations to customers.,Arithmetic,"arithmetic, Retail Sales Associate"
Art Literacy,Skill,"Use materials, tools, and processes for videography, filmmaking, and installations.",Art Literacy,"Art Literacy, Art Education, Foundational Literacies"
Arterial Blood Gas Analysis,Skill,Make adjustments to ventilator settings based on arterial blood gas results.,Arterial Blood Gas Analysis,"Arterial Blood Gas Analysis, ventilator"
Artificial Intelligence,Skill,Explain the differences between artificial intelligence (AI) and machine learning (ML).,Artificial Intelligence,Artificial Intelligence
Artificial Intelligence (AI),Skill,Write clear and concise prompts that allow learners to demonstrate their understanding of the learning objectives.,Artificial Intelligence (AI),"Artificial Intelligence, Prompt Engineering Course Design"
Artificial Neural Networks,Skill,Articulate the pros and cons of different types of neural networks.,Artificial Neural Networks,"Artificial Neural Networks, TensorFlow, Keras, MXNet, PyTorch"
Assess Patient Needs,Skill,Collect subjective information on a patient’s overall health.,Assess Patient Needs,"Medical Assistant, Assess Patient Needs"
Asset Allocation,Skill,Develop financial models and analyses to recommend tactical investment strategy.,Asset Allocation,"Bloomberg, Microsoft Office Suite, Reuters, Asset Allocation"
Asset Protection,Skill,Verify all inventory is accounted for by performing an inventory reconciliation.,Asset Protection,"assets, protection, pharmacy inventory, reconciliation"
Audience Segmentation,Skill,"Identify target segments that align with the organization's mission, values, and brand positioning.",Audience Segmentation,
Audio Transcription,Skill,Verify law enforcement audio transcriptions have been processed with third-party software.,Audio Transcription,Audio Transcription
Audiology,Skill,Assess patient for signs of hearing impairment.,Audiology,"Medical Assistant, Audiology"
Auditing,Skill,Review work performed by an organization's partners and vendors.,Auditing,"Auditing, Tax Audits"
Augmentative And Alternative Communications,Skill,Collaborate with speech language pathologists (SLPs).,Augmentative And Alternative Communications,Augmentative And Alternative Communications
Authentications,Skill,"Validate authorization and authentication runbooks and troubleshoots procedures (SOPs), and troubleshoots advanced authentication and authorization issues.",Authentications,"Authentications, Authentication, SafeNet, Authorization (Computing)"
Automated External Defibrillator,Skill,Respond to automated external defibrillator (AED) prompts during deployment.,Automated External Defibrillator,Automated External Defibrillator
Automation,Skill,Create an automated process to transmit orders to a warehouse for fulfillment.,Automation,"Automation, Benefits portals, HRIS and payroll systems"
Autonomy,Skill,"Make decisions about what to teach, what techniques to implement, and how to teach the material to students with exceptionalities.",Autonomy,Autonomy
Azure DevOps,Skill,Run performance tests in Azure DevOps.,Azure DevOps,"Azure DevOps, Systems Engineer"
Backdoor,Skill,Gain unauthorized access to target system through delivered payload.,Backdoor,Backdoor
Backup And Restore,Skill,Automate the backup and restoration of a computer system.,Backup And Restore,"Automation, Backup And Restore"
Backup Devices,Skill,Perform manual backups of data from a device.,Backup Devices,Backup Devices
Bagging Merchandise,Skill,Utilize retail bagging equipment.,Bagging Merchandise,"Retail Sales Associate, Bagging Merchandise"
Balance Sheet,Skill,Review monthly balance sheet account reconciliations for accuracy and completeness.,Balance Sheet,"SAP, Microsoft Excel, Sage, Oracle, Crystal reports, IBM Cognos, Balance Sheet"
Balanced Budgeting,Skill,Summarize budgets and recommendations for the approval or disapproval of funds requests.,Balanced Budgeting,"Budgeting, Balanced Budgeting, Budget Analysis"
Ballistics,Skill,Identify firing pin shapes.,Ballistics,Ballistics
Bank Examination,Skill,Evaluate the quality of a bank's risk management program.,Bank Examination,Bank Examination
Bank Reconciliations,Skill,Evaluate a bank reconciliation to ensure transactions appear in both client records and on a bank statement.,Bank Reconciliations,Bank Reconciliations
Bank Secrecy Act,Skill,Identify the bank's Bank Secrecy Act (BSA) / Anti Money Laundering (AML) risks.,Bank Secrecy Act,Bank Secrecy Act
Bankruptcies,Skill,Recommend restructuring alternatives for a company.,Bankruptcies,Bankruptcies
Basic Life Support,Skill,Verify presence of a patient's pulse per the American Heart Association protocol.,Basic Life Support,"basic life support, Aha, Pulse"
Basic Math,Skill,Use functions to identify patterns and relationships within data sets.,Basic Math,"Basic Math, Transferrable Skills Across Occupations"
Behavioral Science,Skill,Interpret research related to behaviors between people.,Behavioral Science,Behavioral Science
Benchmarking,Skill,Analyze salary and benefits information for current employees as benchmark data when hiring new employees.,Benchmarking,"Analysis, Analytical Techniques, Benchmarking"
Benefits Administration,Skill,Evaluate employee benefits service providers.,Benefits Administration,"Microsoft Excel, Benefits Administration"
Bidding,Skill,Create requests for proposals to solicit bids from companies to provide services.,Bidding,"Business Development, Online Marketing, Bidding, Online Bidding, web marketing, online sales, IT Marketing, bde, internet sales, online selling, elance, odesk, getacoder, getafreelancer, tendering, guru, software marketing"
